building_name,unit_number,bedrooms,size_sqft,contract_date,transaction_amount,floor_level,view,confidence,sources
Golden Mile,3212,3,2421.88,2024-12-27,,2,,HIGH,reidin
Golden Mile,OF02,,3059.32,2024-12-27,,MEZ,,HIGH,reidin
Al Shamsi,422,1,1059.38,2024-12-27,,4,,HIGH,reidin
Al Nabat,1211,2,2023.61,2024-12-27,,12,,HIGH,reidin
Balqis Residences,GR06,,1004.38,2024-12-26,,G,,HIGH,reidin
Balqis Residences,GR03,,1729.33,2024-12-26,,G,,HIGH,reidin
The Fairmont Palm Residences,414,2,2217.36,2024-12-26,,4,,HIGH,reidin
Balqis Residences,GR01,,548.64,2024-12-26,,G,,HIGH,reidin
Royal Atlantis,405,1,1142.8,2024-12-26,,4,,HIGH,reidin
Al Shirawi,808,2,1550.76,2024-12-26,,8,,HIGH,reidin
Al Mashraba,706,3,4057.99,2024-12-26,,7,,HIGH,reidin
Balqis Residences,GR11PB,,2801.84,2024-12-26,,G,,HIGH,reidin
Al Shirawi,PH06,4,5231.26,2024-12-26,,LP,,HIGH,reidin
Balqis Residences,GR04,,1788.74,2024-12-26,,G,,HIGH,reidin
Royal Atlantis,1507,2,2475.7,2024-12-25,,15,,HIGH,reidin
Al Ramth,608,2,1745.69,2024-12-25,,6,,HIGH,reidin
Al Msalli,501,2,1560.77,2024-12-25,,5,,HIGH,reidin
Seven Palm,M36,1,656.6,2024-12-25,,M,,HIGH,reidin
Club Vista Mare,102,0,606.87,2024-12-24,,1,,HIGH,reidin
Al Nabat,609,2,1732.99,2024-12-24,,6,,HIGH,reidin
Marina Residences,102N,2,1980.56,2024-12-24,,1,,HIGH,reidin
Marina Residences,615,1,1140.97,2024-12-24,,6,,HIGH,reidin
Al Shamsi,G56,3,2982.14,2024-12-24,,G,,HIGH,reidin
Golden Mile,6502,2,1797.57,2024-12-24,,5,,HIGH,reidin
The Fairmont Palm Residences,217,4,3326.05,2024-12-24,,2,,HIGH,reidin
The 8,20613,2,1323.96,2024-12-24,,6,,HIGH,reidin
Al Shamsi,254,1,1268.85,2024-12-24,,2,,HIGH,reidin
Al Murjan,1107,3,2529.52,2024-12-24,,11,,HIGH,reidin
Al Shamsi,137,1,1021.92,2024-12-24,,1,,HIGH,reidin
Al Murjan,1008,2,1745.69,2024-12-24,,10,,HIGH,reidin
Royal Atlantis,404,1,821.39,2024-12-24,,4,,HIGH,reidin
The Fairmont Palm Residences,824,2,1725.35,2024-12-24,,8,,HIGH,reidin
Royal Atlantis,605,1,1142.8,2024-12-24,,6,,HIGH,reidin
Al Nabat,1311,2,2019.09,2024-12-24,,13,,HIGH,reidin
Al Seef,PJFRM077,5,5343.95,2024-12-24,,nan,,HIGH,reidin
Al Khushkar,807,2,2002.09,2024-12-24,,8,,HIGH,reidin
Al Basri,PJFRD113,4,5000.05,2024-12-23,,nan,,HIGH,reidin
Palm Tower,3401,0,495.14,2024-12-23,,34,,HIGH,reidin
Al Msalli,F013A,,4505.98,2024-12-23,,1,,HIGH,reidin
The Fairmont Palm Residences,5V059,5,3336.81,2024-12-23,,nan,,HIGH,reidin
Al Mashraba,209,2,2045.14,2024-12-23,,2,,HIGH,reidin
Al Hamri,702,3,2185.07,2024-12-23,,7,,HIGH,reidin
Seven Palm,614,1,715.15,2024-12-23,,6,,HIGH,reidin
Al Shirawi,1108,2,1550.0,2024-12-23,,LP,,HIGH,reidin
Tiara Residences,501,2,1677.02,2024-12-23,,5,,HIGH,reidin
Balqis Residences,303,3,2357.29,2024-12-22,,3,,HIGH,reidin
Al Hallawi,807,2,1993.69,2024-12-21,,8,,HIGH,reidin
Oceana,806,2,1711.46,2024-12-20,,9,,HIGH,reidin
Marina Residences,402,1,1140.97,2024-12-20,,4,,HIGH,reidin
Golden Mile,RT02,,1620.51,2024-12-20,,B1,,HIGH,reidin
Seven Palm,1119,0,334.97,2024-12-20,,11,,HIGH,reidin
Al Khushkar,301,2,1585.85,2024-12-20,,3,,HIGH,reidin
Golden Mile,5611,2,1795.53,2024-12-20,,6,,HIGH,reidin
Al Hatmi,806,2,1993.69,2024-12-20,,8,,HIGH,reidin
Golden Mile,6407,2,1883.68,2024-12-20,,4,,HIGH,reidin
Azizi Mina,601,1,1014.82,2024-12-20,,6,,HIGH,reidin
Golden Mile,GM2B8RT27,,2101.33,2024-12-20,,B1,,HIGH,reidin
Tiara Residences,405,3,2271.18,2024-12-19,,4,,HIGH,reidin
Al Msalli,E063,,2059.03,2024-12-19,,2,,HIGH,reidin
Al Basri,PJFRD090,4,5000.05,2024-12-19,,nan,,HIGH,reidin
Al Basri,108,3,2241.47,2024-12-19,,1,,HIGH,reidin
Al Msalli,E037,,6243.28,2024-12-19,,2,,HIGH,reidin
Al Msalli,803,3,2141.69,2024-12-19,,8,,HIGH,reidin
Club Vista Mare,008,,7703.51,2024-12-19,,G,,HIGH,reidin
Al Hatmi,704,1,1140.97,2024-12-19,,7,,HIGH,reidin
Jash Hamad,306,2,1991.32,2024-12-19,,3,,HIGH,reidin
Al Hamri,612,2,1582.29,2024-12-19,,6,,HIGH,reidin
Serenia Residences,B602,3,4877.12,2024-12-19,,6,,HIGH,reidin
Al Hatmi,604,1,1140.97,2024-12-19,,6,,HIGH,reidin
The Fairmont Palm Residences,810,1,1549.79,2024-12-19,,8,,HIGH,reidin
Al Msalli,G03,,1858.6,2024-12-19,,G,,HIGH,reidin
Jash Hamad,107,1,1173.27,2024-12-19,,1,,HIGH,reidin
Jash Hamad,507,2,1991.32,2024-12-19,,5,,HIGH,reidin
Al Nabat,904,2,1745.69,2024-12-18,,9,,HIGH,reidin
Royal Atlantis,301,3,3530.56,2024-12-18,,3,,HIGH,reidin
Golden Mile,8605,2,1797.57,2024-12-18,,6,,HIGH,reidin
Seven Palm,31507,2,1645.91,2024-12-18,,15,,HIGH,reidin
Palm Tower,2019,1,1109.76,2024-12-18,,20,,HIGH,reidin
Balqis Residences,710,2,1965.06,2024-12-18,,7,,HIGH,reidin
The Fairmont Palm Residences,918,3,4071.77,2024-12-18,,9,,HIGH,reidin
Oceana,304,1,1334.72,2024-12-18,,4,,HIGH,reidin
Al Ghaf,PJFRC059,4,6000.01,2024-12-18,,nan,,HIGH,reidin
Al Seef,PJFRM028,4,5000.05,2024-12-18,,nan,,HIGH,reidin
Al Nabat,102,3,2201.0,2024-12-18,,1,,HIGH,reidin
Marina Residences,605,1,1140.97,2024-12-17,,6,,HIGH,reidin
Balqis Residences,GR13,,490.19,2024-12-17,,G,,HIGH,reidin
Golden Mile,FB10,,2049.23,2024-12-17,,B1,,HIGH,reidin
Tiara Residences,103,1,1295.97,2024-12-17,,2,,HIGH,reidin
Al Habool,PH12,4,4843.76,2024-12-17,,LP,,HIGH,reidin
The Fairmont Palm Residences,P313,,4625.36,2024-12-17,,10,,HIGH,reidin
Golden Mile,10702,3,4362.61,2024-12-17,,7,,HIGH,reidin
Al Mashraba,701,2,1872.92,2024-12-17,,7,,HIGH,reidin
Al Shamsi,242,2,1555.06,2024-12-17,,2,,HIGH,reidin
Balqis Residences,812,3,2389.59,2024-12-17,,8,,HIGH,reidin
Tiara Residences,1202,3,2391.95,2024-12-17,,12,,HIGH,reidin
Serenia Residences,A702,2,1625.35,2024-12-17,,7,,HIGH,reidin
Tiara Residences,1101,2,1677.02,2024-12-17,,11,,HIGH,reidin
Al Hatmi,305,2,1550.0,2024-12-17,,3,,HIGH,reidin
The Fairmont Palm Residences,614,2,1926.74,2024-12-17,,6,,HIGH,reidin
Palm Tower,4307,1,1044.1,2024-12-17,,43,,HIGH,reidin
Al Msalli,806,2,1993.69,2024-12-17,,8,,HIGH,reidin
Tiara Residences,906,2,1677.02,2024-12-17,,9,,HIGH,reidin
Kempinski Residences,OFFICE03,,4165.63,2024-12-16,,1,,HIGH,reidin
Al Das,605,4,1550.76,2024-12-16,,6,,HIGH,reidin
Al Sahab,PJFRO124,4,5000.05,2024-12-16,,nan,,HIGH,reidin
Al Hallawi,310,3,2163.54,2024-12-16,,3,,HIGH,reidin
Seven Palm,M37,0,377.81,2024-12-16,,M,,HIGH,reidin
The 8,3502,3,6522.92,2024-12-16,,5,,HIGH,reidin
Oceana,1201,2,1709.2,2024-12-16,,13,,HIGH,reidin
Oceana,403,1,1334.72,2024-12-16,,5,,HIGH,reidin
The Fairmont Palm Residences,505,1,1323.96,2024-12-16,,5,,HIGH,reidin
Kempinski Residences,RG17,,430.56,2024-12-16,,G,,HIGH,reidin
Oceana,1005,3,2281.95,2024-12-16,,11,,HIGH,reidin
Golden Mile,GM2B8RT26B,,726.35,2024-12-16,,B1,,HIGH,reidin
Al Khayali,1308,2,1743.75,2024-12-16,,13,,HIGH,reidin
The 8,20109,2,1337.63,2024-12-16,,1,,HIGH,reidin
Al Das,G01,,1671.2,2024-12-16,,G,,HIGH,reidin
Al Khayali,306,3,4057.99,2024-12-16,,3,,HIGH,reidin
Al Anbara,809,1,1140.97,2024-12-15,,8,,HIGH,reidin
Marina Residences,103N,2,1754.52,2024-12-15,,1,,HIGH,reidin
Al Shirawi,PH12,4,4838.16,2024-12-15,,LP,,HIGH,reidin
Golden Mile,3701,,4886.81,2024-12-15,,7,,HIGH,reidin
Marina Residences,A105,2,1754.52,2024-12-15,,1,,HIGH,reidin
Golden Mile,2305,2,1807.69,2024-12-14,,3,,HIGH,reidin
Al Sahab,PJFRO116,4,5000.05,2024-12-14,,nan,,HIGH,reidin
The 8,8402,4,8675.7,2024-12-14,,4,,HIGH,reidin
Tiara Residences,804,1,1291.67,2024-12-14,,8,,HIGH,reidin
The 8,10414,2,1328.16,2024-12-14,,4,,HIGH,reidin
Jash Falqa,308,2,1550.0,2024-12-13,,3,,HIGH,reidin
Tiara Residences,605,3,2264.94,2024-12-13,,6,,HIGH,reidin
Palm Tower,3806,0,527.43,2024-12-13,,38,,HIGH,reidin
Palm Tower,4004,0,516.67,2024-12-13,,40,,HIGH,reidin
The Fairmont Palm Residences,318,3,4239.9,2024-12-13,,3,,HIGH,reidin
Al Mashraba,TH01,2,4045.29,2024-12-13,,LG,,HIGH,reidin
Golden Mile,6309,2,1787.78,2024-12-13,,3,,HIGH,reidin
Seven Palm,620,0,315.06,2024-12-13,,6,,HIGH,reidin
Al Ghaf,PJFRB011,4,5000.05,2024-12-13,,nan,,HIGH,reidin
Al Hamri,906,2,1993.69,2024-12-13,,9,,HIGH,reidin
Kempinski Residences,607,3,3853.48,2024-12-13,,6,,HIGH,reidin
Golden Mile,10409,2,1787.78,2024-12-12,,4,,HIGH,reidin
Al Hallawi,302,3,2217.36,2024-12-12,,3,,HIGH,reidin
Golden Mile,9504,1,1306.63,2024-12-12,,5,,HIGH,reidin
Al Shirawi,1012,2,1582.72,2024-12-12,,10,,HIGH,reidin
Tiara Residences,401,2,1677.02,2024-12-12,,4,,HIGH,reidin
Royal Atlantis,107,1,1130.21,2024-12-12,,1,,HIGH,reidin
Tiara Residences,603,1,1291.67,2024-12-12,,6,,HIGH,reidin
Al Shirawi,303,3,2163.54,2024-12-12,,3,,HIGH,reidin
Golden Mile,2210,2,1794.34,2024-12-12,,2,,HIGH,reidin
Oceana,303,1,1334.72,2024-12-12,,4,,HIGH,reidin
Oceana,903,1,1334.72,2024-12-12,,10,,HIGH,reidin
Al Nabat,604,1,1130.21,2024-12-12,,6,,HIGH,reidin
Azizi Mina,106,1,927.85,2024-12-12,,1,,HIGH,reidin
Al Murjan,704,2,1745.69,2024-12-11,,7,,HIGH,reidin
Al Ghaf,PJFRC071,4,5000.05,2024-12-11,,nan,,HIGH,reidin
Al Nabat,LG01,3,2755.56,2024-12-11,,LG,,HIGH,reidin
Al Mashraba,1107,3,2529.52,2024-12-11,,11,,HIGH,reidin
Marina Residences,216,1,1140.97,2024-12-11,,2,,HIGH,reidin
The Fairmont Palm Residences,605,1,1323.96,2024-12-11,,6,,HIGH,reidin
Palm Tower,3116,0,523.56,2024-12-11,,31,,HIGH,reidin
Al Ramth,1104,2,1743.75,2024-12-11,,11,,HIGH,reidin
Tiara Residences,206,2,1668.4,2024-12-11,,2,,HIGH,reidin
Tiara Residences,1003,1,1291.67,2024-12-11,,10,,HIGH,reidin
Golden Mile,4109,2,2604.86,2024-12-11,,1,,HIGH,reidin
Al Das,311,5,2218.12,2024-12-11,,3,,HIGH,reidin
Seven Palm,50004,5,12324.02,2024-12-11,,G,,HIGH,reidin
Al Nabat,204,2,2034.38,2024-12-11,,2,,HIGH,reidin
Serenia Residences,A506,2,1474.65,2024-12-11,,5,,HIGH,reidin
Golden Mile,8403,2,1797.57,2024-12-11,,4,,HIGH,reidin
Al Ramth,506,3,4057.99,2024-12-11,,5,,HIGH,reidin
Kempinski Residences,310,3,3788.89,2024-12-10,,3,,HIGH,reidin
The 8,10211,3,1926.63,2024-12-10,,2,,HIGH,reidin
Oceana,D01,2,1711.46,2024-12-10,,1,,HIGH,reidin
Al Nabat,602,3,2181.95,2024-12-10,,6,,HIGH,reidin
Al Msalli,E022B,,1344.95,2024-12-10,,2,,HIGH,reidin
Golden Mile,KS01,,427.87,2024-12-10,,B1,,HIGH,reidin
Al Murjan,601,2,1870.01,2024-12-10,,6,,HIGH,reidin
Al Murjan,1105,3,2529.52,2024-12-10,,11,,HIGH,reidin
Al Nabat,709,1,1140.97,2024-12-10,,7,,HIGH,reidin
Marina Residences,709,1,1151.74,2024-12-10,,7,,HIGH,reidin
Marina Residences,A101,1,1097.92,2024-12-10,,1,,HIGH,reidin
Seven Palm,516,1,675.65,2024-12-10,,5,,HIGH,reidin
Kempinski Residences,RG14,,172.22,2024-12-10,,G,,HIGH,reidin
Al Anbara,502,3,2221.13,2024-12-10,,5,,HIGH,reidin
Al Sahab,PJFRO106,5,5343.95,2024-12-10,,nan,,HIGH,reidin
Al Nabat,402,3,2215.96,2024-12-10,,4,,HIGH,reidin
Golden Mile,1604,1,1302.43,2024-12-10,,6,,HIGH,reidin
Balqis Residences,703,3,2480.65,2024-12-10,,7,,HIGH,reidin
Jash Falqa,203,3,2158.92,2024-12-10,,2,,HIGH,reidin
Golden Mile,6707,,5112.85,2024-12-10,,7,,HIGH,reidin
Al Murjan,1009,2,1776.04,2024-12-10,,10,,HIGH,reidin
Al Malak,1108,2,1745.69,2024-12-10,,11,,HIGH,reidin
Jash Falqa,409,1,1140.97,2024-12-10,,4,,HIGH,reidin
The Fairmont Palm Residences,308,1,1356.25,2024-12-09,,3,,HIGH,reidin
Al Msalli,G07,,163.4,2024-12-09,,G,,HIGH,reidin
Golden Mile,4411,2,1797.57,2024-12-09,,4,,HIGH,reidin
Al Nabat,107,2,1991.32,2024-12-09,,1,,HIGH,reidin
The Fairmont Palm Residences,922,2,1717.16,2024-12-09,,9,,HIGH,reidin
Balqis Residences,1002,3,2281.95,2024-12-09,,10,,HIGH,reidin
Seven Palm,424,0,355.21,2024-12-09,,4,,HIGH,reidin
Al Ramth,904,2,1743.75,2024-12-09,,9,,HIGH,reidin
Al Hamri,311,3,2221.13,2024-12-09,,3,,HIGH,reidin
Al Shamsi,109,1,1031.72,2024-12-09,,1,,HIGH,reidin
Al Khushkar,1205,2,1550.0,2024-12-09,,LP,,HIGH,reidin
Jash Hamad,101,2,1614.59,2024-12-09,,1,,HIGH,reidin
Al Shamsi,413,1,1059.38,2024-12-09,,4,,HIGH,reidin
Jash Hamad,806,2,1991.32,2024-12-09,,8,,HIGH,reidin
Al Shamsi,205,3,2045.25,2024-12-09,,2,,HIGH,reidin
Al Sultana,412,2,1560.77,2024-12-09,,4,,HIGH,reidin
Oceana,1004,1,1334.72,2024-12-09,,11,,HIGH,reidin
Al Ramth,1002,2,1778.09,2024-12-08,,10,,HIGH,reidin
Al Mashraba,1305,3,2518.75,2024-12-07,,13,,HIGH,reidin
Tiara Residences,801,2,1679.17,2024-12-06,,8,,HIGH,reidin
Golden Mile,10704,4,10247.23,2024-12-06,,7,,HIGH,reidin
Al Das,707,4,1999.93,2024-12-06,,7,,HIGH,reidin
Oceana,503,1,1334.72,2024-12-06,,6,,HIGH,reidin
Oceana,803,1,1338.17,2024-12-06,,9,,HIGH,reidin
Al Nabat,502,3,2217.36,2024-12-06,,5,,HIGH,reidin
Al Shamsi,RETAIL7,,902.66,2024-12-06,,G,,HIGH,reidin
Tiara Residences,606,2,1677.02,2024-12-05,,6,,HIGH,reidin
Al Khayali,509,2,1732.99,2024-12-05,,5,,HIGH,reidin
Al Das,911,5,2186.9,2024-12-05,,9,,HIGH,reidin
Al Das,303,5,2156.87,2024-12-05,,3,,HIGH,reidin
Al Hallawi,601,2,1582.29,2024-12-05,,6,,HIGH,reidin
Jash Falqa,303,3,2163.54,2024-12-05,,3,,HIGH,reidin
Kempinski Residences,R105,,785.76,2024-12-05,,1,,HIGH,reidin
Al Ghaf,PJFRB031,5,6999.98,2024-12-05,,nan,,HIGH,reidin
Oceana,801,2,1711.46,2024-12-05,,9,,HIGH,reidin
Oceana,401,2,1711.46,2024-12-05,,5,,HIGH,reidin
Al Sahab,PJFRO139,5,5343.95,2024-12-05,,nan,,HIGH,reidin
Royal Atlantis,401,1,861.11,2024-12-05,,4,,HIGH,reidin
Palm Tower,2714,0,527.43,2024-12-05,,27,,HIGH,reidin
Al Basri,1110,3,2142.02,2024-12-04,,11,,HIGH,reidin
Tiara Residences,G02,1,1587.03,2024-12-04,,G,,HIGH,reidin
Al Das,204,2,1144.63,2024-12-04,,2,,HIGH,reidin
Al Malak,810,2,1735.25,2024-12-04,,8,,HIGH,reidin
Oceana,D04,1,1334.72,2024-12-04,,1,,HIGH,reidin
Golden Mile,2605,2,1807.69,2024-12-04,,6,,HIGH,reidin
Palm Tower,3503,0,516.67,2024-12-04,,35,,HIGH,reidin
The 8,10001,1,1345.49,2024-12-04,,G,,HIGH,reidin
Al Seef,PJFRM005,4,5000.05,2024-12-04,,nan,,HIGH,reidin
Oceana,1104,1,1338.17,2024-12-04,,12,,HIGH,reidin
The Fairmont Palm Residences,426,2,1996.17,2024-12-04,,4,,HIGH,reidin
Golden Mile,1310,2,1797.57,2024-12-04,,3,,HIGH,reidin
Al Das,708,4,1550.76,2024-12-04,,7,,HIGH,reidin
Al Hatmi,703,3,2152.78,2024-12-04,,7,,HIGH,reidin
Golden Mile,8310,2,1786.81,2024-12-03,,3,,HIGH,reidin
Al Basri,801,2,1582.29,2024-12-03,,8,,HIGH,reidin
Al Ramth,LG03,3,2744.79,2024-12-02,,LG,,HIGH,reidin
The Fairmont Palm Residences,705,1,1313.2,2024-12-01,,7,,HIGH,reidin
Marina Residences,1017,2,2023.61,2024-12-01,,10,,HIGH,reidin
Club Vista Mare,125,0,602.78,2024-12-01,,1,,HIGH,reidin
Al Anbara,805,2,1550.0,2024-12-01,,8,,HIGH,reidin
Marina Residences,511,1,1140.97,2024-12-01,,5,,HIGH,reidin
Seven Palm,1029,0,352.19,2024-11-30,,10,,HIGH,reidin
Palm Tower,4419,1,1114.71,2024-11-30,,44,,HIGH,reidin
Al Habool,1005,2,1550.0,2024-11-29,,LP,,HIGH,reidin
Palm Tower,4705,2,2325.0,2024-11-29,,47,,HIGH,reidin
Seven Palm,41009,2,2228.13,2024-11-29,,10,,HIGH,reidin
Tiara Residences,204,1,1291.67,2024-11-29,,2,,HIGH,reidin
Oceana,706,2,1711.46,2024-11-29,,8,,HIGH,reidin
Al Sultana,604,1,1140.97,2024-11-29,,6,,HIGH,reidin
Al Msalli,811,3,2185.07,2024-11-29,,8,,HIGH,reidin
Serenia Residences,A512,2,1603.82,2024-11-29,,5,,HIGH,reidin
Al Ramth,807,3,2443.41,2024-11-29,,8,,HIGH,reidin
Jash Hamad,501,2,1579.39,2024-11-29,,5,,HIGH,reidin
Serenia Residences,A602,2,1625.35,2024-11-29,,6,,HIGH,reidin
Al Habool,812,2,1582.72,2024-11-28,,8,,HIGH,reidin
Al Msalli,P006,,2538.02,2024-11-28,,G,,HIGH,reidin
Tiara Residences,105,3,2264.94,2024-11-28,,1,,HIGH,reidin
Al Msalli,B1010,,2559.98,2024-11-28,,LG,,HIGH,reidin
Palm Tower,3618,1,1076.39,2024-11-28,,36,,HIGH,reidin
Al Das,808,4,1550.76,2024-11-28,,8,,HIGH,reidin
Palm Tower,3103,0,524.2,2024-11-28,,31,,HIGH,reidin
Al Das,508,4,1550.76,2024-11-28,,5,,HIGH,reidin
Tiara Residences,P03,2,2413.91,2024-11-28,,PR3,,HIGH,reidin
Oceana,804,1,1334.72,2024-11-28,,9,,HIGH,reidin
Oceana,605,3,2271.18,2024-11-28,,7,,HIGH,reidin
Palm Tower,2905,1,1055.29,2024-11-28,,29,,HIGH,reidin
Al Msalli,B1011,,2603.03,2024-11-28,,LG,,HIGH,reidin
Al Ramth,1304,2,1743.75,2024-11-28,,13,,HIGH,reidin
Al Nabat,811,2,1862.15,2024-11-28,,8,,HIGH,reidin
Al Malak,805,3,2438.78,2024-11-28,,8,,HIGH,reidin
Al Nabat,908,2,1743.75,2024-11-28,,9,,HIGH,reidin
The Fairmont Palm Residences,220,2,2195.84,2024-11-28,,2,,HIGH,reidin
Al Nabat,401,2,1587.03,2024-11-28,,4,,HIGH,reidin
Balqis Residences,909,2,1969.79,2024-11-28,,9,,HIGH,reidin
Royal Atlantis,511,2,1442.36,2024-11-28,,5,,HIGH,reidin
Al Das,903,5,2137.93,2024-11-28,,9,,HIGH,reidin
Golden Mile,3209,2,1787.78,2024-11-28,,2,,HIGH,reidin
Golden Mile,1307,2,1886.8,2024-11-27,,3,,HIGH,reidin
Palm Tower,2715,0,527.43,2024-11-27,,27,,HIGH,reidin
Al Sultana,903,3,2142.02,2024-11-27,,LP,,HIGH,reidin
Al Ramth,G01,3,2734.03,2024-11-27,,G,,HIGH,reidin
Al Malak,PJFRE035,4,5000.05,2024-11-27,,nan,,HIGH,reidin
Al Das,711,5,2186.9,2024-11-27,,7,,HIGH,reidin
Al Malak,811,2,1872.92,2024-11-27,,8,,HIGH,reidin
Al Msalli,F018,,2531.02,2024-11-27,,1,,HIGH,reidin
Al Habool,303,3,2152.78,2024-11-27,,3,,HIGH,reidin
Al Shamsi,213,1,1188.33,2024-11-27,,2,,HIGH,reidin
The Fairmont Palm Residences,428,3,3541.32,2024-11-27,,4,,HIGH,reidin
Palm Tower,2315,0,524.2,2024-11-27,,23,,HIGH,reidin
Golden Mile,8407,2,1883.68,2024-11-27,,4,,HIGH,reidin
Golden Mile,3507,2,1886.8,2024-11-27,,5,,HIGH,reidin
Al Nabat,1109,2,1776.04,2024-11-27,,11,,HIGH,reidin
Seven Palm,515,1,715.15,2024-11-27,,5,,HIGH,reidin
Oceana,1106,2,1700.7,2024-11-27,,12,,HIGH,reidin
Jash Hamad,403,3,2163.54,2024-11-26,,4,,HIGH,reidin
Tiara Residences,G03,1,1356.25,2024-11-26,,G,,HIGH,reidin
Al Msalli,P057A,,1125.15,2024-11-26,,G,,HIGH,reidin
Al Msalli,P041A,,562.95,2024-11-26,,G,,HIGH,reidin
Oceana,602,3,2279.9,2024-11-26,,7,,HIGH,reidin
Al Mashraba,901,2,1862.15,2024-11-26,,9,,HIGH,reidin
Al Hallawi,305,2,1550.0,2024-11-26,,3,,HIGH,reidin
The 8,10508,2,1333.11,2024-11-26,,5,,HIGH,reidin
Al Mashraba,404,2,1862.15,2024-11-26,,4,,HIGH,reidin
Al Nabat,1302,2,1776.04,2024-11-26,,13,,HIGH,reidin
Al Khayali,908,2,1743.75,2024-11-26,,9,,HIGH,reidin
The Fairmont Palm Residences,621,2,1991.32,2024-11-26,,6,,HIGH,reidin
Al Basri,PJFRF025,4,5000.05,2024-11-26,,nan,,HIGH,reidin
Royal Atlantis,601,1,861.11,2024-11-26,,6,,HIGH,reidin
Al Khayali,706,3,4047.23,2024-11-26,,7,,HIGH,reidin
Palm Tower,3710,1,1119.45,2024-11-26,,37,,HIGH,reidin
Al Mashraba,1201,2,2012.85,2024-11-26,,12,,HIGH,reidin
Al Shirawi,701,2,1582.72,2024-11-26,,7,,HIGH,reidin
Al Anbara,1009,1,1140.97,2024-11-26,,LP,,HIGH,reidin
Al Ramth,704,2,1745.69,2024-11-26,,7,,HIGH,reidin
Al Msalli,706,2,2002.09,2024-11-26,,7,,HIGH,reidin
Marina Residences,806,1,1140.97,2024-11-26,,8,,HIGH,reidin
Al Msalli,F012,,319.04,2024-11-26,,1,,HIGH,reidin
Al Khayali,PJFRC081,6,6999.98,2024-11-26,,nan,,HIGH,reidin
Al Fahad,PJFRL004,5,6999.98,2024-11-25,,nan,,HIGH,reidin
Oceana,506,2,1711.46,2024-11-25,,6,,HIGH,reidin
The Fairmont Palm Residences,303,3,2992.36,2024-11-25,,3,,HIGH,reidin
The 8,20609,3,1761.73,2024-11-25,,6,,HIGH,reidin
Golden Mile,9608,3,3369.1,2024-11-25,,nan,,HIGH,reidin
The Fairmont Palm Residences,509,1,1292.21,2024-11-25,,5,,HIGH,reidin
The Fairmont Palm Residences,5V045,5,3379.86,2024-11-25,,nan,,HIGH,reidin
Al Nabat,1308,2,1743.75,2024-11-25,,13,,HIGH,reidin
Tiara Residences,805,3,2271.18,2024-11-25,,8,,HIGH,reidin
Al Malak,610,2,1732.99,2024-11-25,,6,,HIGH,reidin
Palm Tower,3709,1,1119.45,2024-11-25,,37,,HIGH,reidin
Al Khushkar,412,2,1582.29,2024-11-25,,4,,HIGH,reidin
Golden Mile,10311,2,1797.57,2024-11-25,,3,,HIGH,reidin
Kempinski Residences,123,4,5855.56,2024-11-24,,1,,HIGH,reidin
Al Ghaf,PJFRC122,4,5000.05,2024-11-24,,nan,,HIGH,reidin
Al Mashraba,810,2,1732.99,2024-11-22,,8,,HIGH,reidin
Golden Mile,1302,2,1799.08,2024-11-22,,3,,HIGH,reidin
The Fairmont Palm Residences,917,4,3169.97,2024-11-22,,9,,HIGH,reidin
Al Das,704,2,1144.63,2024-11-22,,7,,HIGH,reidin
Al Hatmi,PH12,4,4838.16,2024-11-22,,LP,,HIGH,reidin
Serenia Residences,A503,3,2615.63,2024-11-22,,5,,HIGH,reidin
Palm Tower,2510,1,1112.66,2024-11-22,,25,,HIGH,reidin
Oceana,G03,1,1485.42,2024-11-22,,G,,HIGH,reidin
The Fairmont Palm Residences,409,1,1291.67,2024-11-22,,4,,HIGH,reidin
The Fairmont Palm Residences,609,1,1292.21,2024-11-22,,6,,HIGH,reidin
Golden Mile,9401,1,1304.58,2024-11-22,,4,,HIGH,reidin
Al Khushkar,710,3,2152.78,2024-11-21,,7,,HIGH,reidin
Al Shirawi,311,3,2217.36,2024-11-21,,3,,HIGH,reidin
Jash Falqa,312,2,1582.29,2024-11-21,,3,,HIGH,reidin
Al Das,206,4,1996.7,2024-11-21,,2,,HIGH,reidin
Golden Mile,OF21,,4957.42,2024-11-21,,MEZ,,HIGH,reidin
Golden Mile,OF25,,4941.6,2024-11-21,,MEZ,,HIGH,reidin
Palm Tower,2010,1,1108.68,2024-11-21,,20,,HIGH,reidin
Golden Mile,9201,1,1302.43,2024-11-21,,2,,HIGH,reidin
Palm Tower,4011,1,1140.97,2024-11-21,,40,,HIGH,reidin
Azizi Mina,115,1,2034.38,2024-11-21,,1,,HIGH,reidin
Golden Mile,OF22,,6350.38,2024-11-21,,MEZ,,HIGH,reidin
Kempinski Residences,622,4,4919.1,2024-11-21,,6,,HIGH,reidin
Al Das,209,2,1144.63,2024-11-21,,2,,HIGH,reidin
Tiara Residences,D06,2,1677.02,2024-11-21,,DCK,,HIGH,reidin
Al Basri,PJFRD048,6,6999.98,2024-11-21,,nan,,HIGH,reidin
Serenia Residences,C403,4,3336.81,2024-11-21,,4,,HIGH,reidin
Al Anbara,308,2,1550.0,2024-11-20,,3,,HIGH,reidin
Kempinski Residences,V01,5,8349.66,2024-11-20,,nan,,HIGH,reidin
